user_id,phonenumber,gas_annual_consumption,elec_annual_consumption
161,+33 1 17 11 94 03,3520.0,1838.0
162,,,
163,+33 7 05 77 16 31,,3895.0
164,,,
165,01 34 43 21 26,3426.0,1903.0
166,04 12 57 48 42,,4776.0
167,07 36 88 72 90,3243.0,
168,03 14 20 19 93,3359.0,1025.0
169,,,
170,01 10 31 11 12,,3658.0
171,+33 7 86 05 30 82,,4462.0
172,,,
173,,,
174,03 60 48 36 33,3280.0,1824.0
175,+33 7 83 68 78 36,,3848.0
176,+33 2 95 96 47 12,3860.0,1454.0
177,,,
178,01 17 13 35 15,3241.0,1348.0
179,02 95 23 46 02,,4981.0
180,01 51 93 72 79,,3151.0
181,+33 1 41 11 11 72,,3000.0
182,+33 4 06 37 10 81,,3605.0
183,,,
184,+33 7 89 88 31 38,,3578.0
185,+33 1 46 61 09 96,,3713.0
186,,,
187,+33 7 57 02 37 57,,4840.0
188,+33 3 43 17 43 17,3744.0,
189,,,
190,,,
191,,,
192,,,
193,+33 7 71 99 67 35,,4167.0
194,02 21 07 52 74,,3767.0
195,+33 7 87 25 07 76,,3535.0
196,+33 2 41 25 26 23,3253.0,1527.0
197,+33 3 37 31 65 96,,4185.0
198,,,
199,,,
200,,,
201,03 70 08 33 19,,4041.0
202,02 97 60 21 22,,4554.0
203,+33 3 17 73 99 86,,3046.0
204,+33 1 54 18 09 91,,4858.0
205,+33 7 18 53 16 89,3156.0,1011.0
206,,,
207,,,
208,+33 3 06 09 37 45,,4765.0
209,+33 4 48 77 44 38,,4844.0
210,+33 6 86 45 36 55,,4106.0
211,+33 3 75 22 90 44,,4644.0
212,+33 6 95 70 76 97,,3842.0
213,,,
214,,,
215,+33 4 53 03 36 37,3040.0,1483.0
216,+33 7 82 77 78 77,,4355.0
217,07 15 06 81 16,,3731.0
218,,,
219,,,
220,06 97 24 75 27,,3652.0
221,06 64 75 25 63,3386.0,
222,,,
223,+33 1 90 42 08 78,,3646.0
224,,,
225,01 28 79 30 07,,3578.0
226,02 69 90 40 21,,4687.0
227,,,
228,,,
229,+33 4 68 30 33 11,,4323.0
230,03 18 65 76 23,,4979.0
231,02 56 26 30 28,,3296.0
232,02 44 42 99 25,,4933.0
233,01 84 82 20 83,,3307.0
234,06 57 81 29 67,,4215.0
235,04 04 44 80 30,3749.0,1645.0
236,,,
237,01 37 29 61 14,,3945.0
238,07 50 21 07 92,3574.0,1285.0
239,,,
240,,,
241,01 93 28 40 11,3157.0,
242,+33 7 75 71 21 65,,4561.0
243,06 45 60 98 92,,4736.0
244,,,
245,+33 6 56 08 64 87,,4320.0
246,,,
247,+33 6 66 16 45 39,,4361.0
248,01 02 07 78 43,3879.0,1924.0
249,+33 7 75 22 27 07,3643.0,1176.0
250,+33 7 25 97 72 27,3611.0,
251,02 96 92 12 44,3531.0,1360.0
252,+33 4 00 03 46 56,,4112.0
253,,,
254,,,
255,,,
256,,,
257,,,
258,+33 7 12 86 18 39,,3427.0
259,+33 4 04 05 37 51,3100.0,1732.0
260,+33 7 93 65 23 26,,4551.0
261,03 45 78 22 61,3687.0,1449.0
262,06 44 13 84 63,,4770.0
263,+33 1 64 87 91 67,3523.0,1729.0
264,+33 7 70 73 06 67,3829.0,
265,,,
266,,,
267,03 83 74 33 19,,3989.0
268,,,
269,,,
270,,,
271,+33 1 90 93 43 21,,3600.0
272,01 11 23 37 71,,3725.0
273,03 38 76 61 89,,4027.0
274,+33 4 72 47 33 36,3948.0,
275,+33 3 67 99 30 63,,3112.0
276,+33 1 42 12 40 73,,3316.0
277,+33 4 44 41 81 66,3517.0,
278,,,
279,01 50 54 48 78,,3625.0
280,06 67 52 68 19,,3617.0
281,+33 1 02 25 09 35,,3330.0
282,02 93 23 72 53,,4176.0
283,02 05 29 24 24,3414.0,1112.0
284,+33 7 79 28 15 59,3789.0,1492.0
285,,,
286,01 85 51 19 84,3928.0,1126.0
287,+33 7 55 36 35 77,3005.0,1783.0
288,,,
289,+33 6 86 25 46 66,,4631.0
290,+33 1 12 90 91 23,3075.0,1405.0
291,03 10 60 53 03,,4507.0
292,06 98 63 43 28,,3779.0
293,+33 2 21 14 05 64,3479.0,1117.0
294,,,
295,+33 2 90 11 71 26,3249.0,1537.0
296,06 98 36 65 44,,4227.0
297,01 09 30 24 05,,3485.0
298,,,
299,+33 6 73 46 40 95,,3307.0
300,,,
301,07 53 83 58 33,,4205.0
302,+33 1 10 52 05 32,3540.0,1140.0
303,+33 6 64 28 64 40,,3678.0
304,03 04 54 45 88,,3110.0
305,01 30 39 46 64,3590.0,1981.0
306,+33 6 26 64 66 13,3504.0,1627.0
307,,,
308,,,
309,03 35 98 00 96,,3525.0
310,03 27 80 48 92,3236.0,1887.0
311,06 44 70 96 05,,4287.0
312,,,
313,+33 6 58 38 46 74,3483.0,1778.0
314,01 93 44 66 99,3612.0,1938.0
315,,,
316,+33 6 79 68 30 26,,4138.0
317,,,
318,02 21 56 15 50,,4067.0
319,03 58 55 54 45,,4720.0
320,+33 2 05 45 95 86,,3570.0
321,+33 4 64 65 74 02,3754.0,1351.0
322,+33 6 60 54 53 06,,3221.0
323,07 61 53 79 30,,3533.0
324,,,
325,+33 6 36 43 67 30,3963.0,1997.0
326,03 30 74 01 35,3249.0,
327,,,
328,,,
329,,,
330,+33 2 62 34 62 73,,3494.0
331,03 57 08 03 94,,3776.0
332,+33 2 30 14 32 30,3029.0,1312.0
333,06 67 80 62 69,3097.0,1035.0
334,02 45 11 44 89,3888.0,1905.0
335,06 57 49 28 79,3089.0,1710.0
336,+33 2 61 33 38 21,,3102.0
337,,,
338,06 40 24 32 23,3076.0,1504.0
339,04 73 40 01 27,,4620.0
340,,,
341,+33 3 51 48 59 02,,4483.0
342,01 17 19 63 22,3306.0,1583.0
343,,,
344,02 94 35 17 06,3548.0,1614.0
345,01 95 48 21 12,,4766.0
346,+33 3 19 14 50 25,,3899.0
347,+33 3 44 41 10 03,,4441.0
348,02 92 24 99 15,3401.0,1457.0
349,+33 1 18 89 58 95,,3889.0
350,+33 6 52 43 66 85,,4645.0
351,+33 1 32 91 42 11,,4768.0
352,+33 4 12 27 17 47,,4884.0
353,06 32 48 08 60,3330.0,1927.0
354,,,
355,04 48 28 35 42,,3670.0
356,01 71 76 17 77,,3714.0
357,,,
358,+33 6 73 26 52 31,,4537.0
359,+33 2 28 84 55 16,3017.0,1477.0
360,,,
361,06 68 55 29 96,3952.0,1647.0
362,,,
363,+33 7 97 15 13 65,,3050.0
364,,,
365,,,
366,02 59 80 52 80,3085.0,1420.0
367,,,
368,,,
369,04 25 60 13 05,,3779.0
370,07 73 02 05 17,,3716.0
371,+33 6 97 86 38 88,,3804.0
372,06 63 17 15 66,,4251.0
373,,,
374,04 21 43 04 04,,4212.0
375,+33 3 76 61 28 29,,4341.0
376,01 80 18 39 72,,3416.0
377,+33 4 76 84 80 47,,3023.0
378,+33 2 93 33 02 67,,4565.0
379,,,
380,,,
381,+33 3 51 53 24 49,,3727.0
382,06 37 55 85 61,,3347.0
383,,,
384,,,
385,,,
386,07 96 67 23 28,,4476.0
387,07 97 96 97 87,,3493.0
388,,,
389,+33 1 33 47 81 87,,3135.0
390,04 02 16 14 17,3446.0,1101.0
391,,,
392,,,
393,04 60 50 74 47,,4136.0
394,,,
395,,,
396,+33 6 63 27 78 83,,4395.0
397,03 83 22 63 81,,3902.0
398,02 55 90 73 40,3251.0,1240.0
399,01 62 13 01 14,,3783.0
400,07 93 77 88 88,,4198.0
401,04 44 47 50 32,,4417.0
402,03 34 01 03 88,,3471.0
403,+33 6 57 16 45 69,3214.0,1907.0
404,,,
405,+33 2 60 55 52 02,,4489.0
406,,,
407,01 69 80 94 31,,3002.0
408,,,
409,+33 2 52 22 71 95,3850.0,1379.0
410,04 83 84 34 86,,3441.0
411,,,
412,01 14 47 87 31,,4789.0
413,04 02 73 66 57,3573.0,
414,,,
415,,,
416,06 67 21 24 86,,4216.0
417,,,
418,+33 2 99 05 45 38,3169.0,1605.0
419,,,
420,+33 1 70 39 81 78,,3891.0
421,,,
422,,,
423,,,
424,,,
425,+33 3 13 71 31 61,,3162.0
426,01 15 44 57 11,,3306.0
427,+33 4 15 67 13 45,,3516.0
428,+33 6 22 82 76 46,,4920.0
429,+33 2 42 45 25 00,3861.0,1229.0
430,07 91 26 52 92,3644.0,1330.0
431,+33 3 77 93 56 59,,3685.0
432,07 55 17 91 30,,3239.0
433,,,
434,,,
435,+33 6 56 71 69 15,3971.0,1406.0
436,,,
437,,,
438,07 76 08 76 91,,4484.0
439,,,
440,,,
441,03 09 99 14 75,,4395.0
442,+33 2 46 10 01 17,3101.0,1215.0
443,02 23 01 33 92,,3588.0
444,,,
445,,,
446,+33 7 32 30 77 20,3333.0,1386.0
447,+33 6 26 73 88 81,,3217.0
448,,,
449,+33 3 48 39 56 59,,4299.0
450,+33 2 88 95 12 69,3689.0,1871.0
451,,,
452,+33 6 86 00 26 85,,3585.0
453,01 34 63 31 22,3721.0,1916.0
454,,,
455,,,
456,+33 1 14 39 02 74,3539.0,1327.0
457,,,
458,+33 3 98 63 53 46,,4612.0
459,02 50 05 64 56,,4010.0
460,01 14 51 15 21,3008.0,1911.0
461,+33 4 47 44 44 83,,4763.0
462,01 42 83 71 42,3819.0,1219.0
463,,,
464,+33 4 03 77 40 47,,4389.0
465,+33 1 69 14 72 21,,4892.0
466,06 41 79 26 14,,3060.0
467,03 53 03 16 96,,3733.0
468,07 25 79 25 68,3819.0,1747.0
469,06 79 06 04 87,3187.0,1155.0
470,,,
471,,,
472,03 37 53 17 30,,3532.0
473,+33 7 88 59 50 72,,3121.0
474,+33 3 65 45 86 10,3463.0,1868.0
475,04 63 42 72 84,,3107.0
476,02 59 88 50 52,,4071.0
477,02 24 95 19 45,3485.0,1140.0
478,,,
479,,,
480,,,
481,+33 1 05 24 22 88,,3868.0
482,07 99 78 99 68,3117.0,1446.0
483,+33 2 62 32 52 45,,3838.0
484,,,
485,02 67 90 04 30,,4105.0
486,+33 2 28 82 62 99,,3823.0
487,,,
488,01 21 11 13 04,3284.0,1654.0
489,+33 3 20 04 43 85,,3466.0
490,,,
491,02 50 21 94 52,,3770.0
492,,,
493,+33 4 00 34 17 02,3461.0,1295.0
494,01 07 71 70 23,,3191.0
495,+33 3 31 74 36 15,,4341.0
496,01 09 61 41 10,,4573.0
497,,,
498,,,
499,+33 1 91 12 10 19,3473.0,1487.0
500,,,
501,,,
502,,,
503,+33 6 88 76 56 00,3202.0,1208.0
504,06 28 56 46 96,,4499.0
505,,,
506,+33 6 32 95 60 63,,3542.0
507,+33 6 88 46 67 34,3568.0,1909.0
508,+33 1 16 80 33 18,,3322.0
509,,,
510,,,
511,,,
512,01 89 49 26 39,,3737.0
513,+33 2 46 30 72 97,,3761.0
514,+33 6 63 66 64 94,,4952.0
515,06 97 59 55 39,3473.0,1937.0
516,,,
517,,,
518,06 33 24 43 99,,3741.0
519,,,
520,,,
521,,,
522,01 17 01 22 33,,4518.0
523,+33 3 16 29 51 89,3425.0,1225.0
524,06 76 28 66 20,,4545.0
525,02 23 55 76 62,,4047.0
526,,,
527,+33 1 00 08 44 43,3590.0,1432.0
528,,,
529,02 22 21 24 37,,3250.0
530,01 91 08 11 12,,3062.0
531,+33 7 15 72 87 75,,3812.0
532,+33 6 44 43 26 36,,3506.0
533,+33 3 44 72 27 67,,4369.0
534,,,
535,+33 6 46 39 96 66,,3849.0
536,+33 2 61 64 32 05,,4007.0
537,+33 1 41 71 41 21,,4257.0
538,+33 3 81 76 03 00,,4019.0
539,+33 6 23 97 48 66,,3863.0
540,+33 2 29 24 22 29,3372.0,1355.0
541,,,
542,01 11 97 79 71,3027.0,1348.0
543,,,
544,07 25 23 93 17,,3811.0
545,07 88 78 93 29,3367.0,1548.0
546,03 31 91 58 33,,3086.0
547,04 55 41 04 60,,4110.0
548,+33 1 19 71 06 79,,4939.0
549,03 73 38 34 33,,3183.0
550,,,
551,,,
552,06 39 42 28 34,,4608.0
553,01 18 88 41 51,3225.0,1970.0
554,,,
555,06 20 92 92 25,,4070.0
556,+33 3 03 87 61 60,,3575.0
557,+33 4 14 34 50 40,,4045.0
558,,,
559,+33 3 07 34 10 30,3887.0,1046.0
560,+33 2 22 42 25 92,3919.0,1771.0
561,02 69 11 26 35,,4155.0
562,+33 4 05 66 21 81,,4324.0
563,+33 3 43 98 49 93,,3773.0
564,01 97 84 76 10,,3970.0
565,02 09 06 23 23,,3648.0
566,+33 6 14 97 11 15,3803.0,1653.0
567,+33 3 13 42 44 45,3493.0,
568,+33 6 64 73 66 62,,3196.0
569,01 64 77 30 99,,3336.0
570,06 67 96 32 84,3306.0,1550.0
571,02 21 14 07 37,,4581.0
572,,,
573,,,
574,,,
575,,,
576,+33 3 85 14 93 94,,3221.0
577,,,
578,+33 1 27 26 81 12,,4689.0
579,+33 4 05 18 08 67,,3803.0
580,+33 6 34 37 48 59,,4431.0
581,01 69 87 30 62,,3821.0
582,+33 6 66 62 06 58,,3104.0
583,,,
584,06 86 16 58 86,,4221.0
585,03 51 88 69 80,,3359.0
586,06 43 78 81 94,,4947.0
587,02 21 52 89 30,,4702.0
588,+33 6 82 57 81 66,,3942.0
589,+33 6 85 88 58 36,,3122.0
590,+33 1 88 23 54 85,,3959.0
591,+33 3 31 90 54 56,3612.0,1830.0
592,+33 3 35 49 96 20,3227.0,
593,,,
594,06 06 79 83 79,,4991.0
595,,,
596,,,
597,+33 3 56 21 81 24,,3238.0
598,,,
599,,,
600,,,
601,01 78 50 01 19,,4481.0
602,,,
603,01 14 19 97 89,3104.0,1835.0
604,+33 2 37 25 46 19,,3740.0
605,,,
606,01 51 19 11 87,,3072.0
607,,,
608,+33 3 70 58 65 07,,4123.0
609,,,
610,,,
611,,,
612,+33 6 65 67 24 44,,3337.0
613,+33 2 88 21 33 39,,3106.0
614,+33 7 05 15 78 39,,3038.0
615,,,
616,+33 2 33 99 14 46,,3969.0
617,06 39 36 27 56,3892.0,1027.0
618,,,
619,,,
620,,,
621,,,
622,+33 7 01 78 61 75,,3154.0
623,+33 2 70 24 64 92,,4356.0
624,06 93 86 86 28,,4386.0
625,01 05 54 49 14,,3269.0
626,+33 7 87 05 66 85,,3113.0
627,01 19 79 71 91,3807.0,
628,,,
629,04 57 33 00 65,,4036.0
630,+33 2 50 89 32 82,,3092.0
631,,,
632,06 39 22 24 79,,3321.0
633,,,
634,,,
635,03 37 41 31 71,3067.0,1418.0
636,,,
637,03 99 70 81 59,,4311.0
638,,,
639,,,
640,06 45 38 79 69,3127.0,1136.0
641,,,
642,+33 1 87 08 01 03,,3484.0
643,,,
644,01 13 04 38 04,,4064.0
645,,,
646,+33 1 14 17 91 14,,3865.0
647,01 13 11 91 84,,3849.0
648,+33 3 31 96 82 73,,3985.0
649,03 58 60 61 09,,4127.0
650,07 59 87 75 73,,4894.0
651,+33 3 83 03 73 99,,4220.0
652,,,
653,,,
654,+33 1 01 29 64 11,,3897.0
655,+33 7 07 57 77 02,,4494.0
656,,,
657,01 78 20 13 20,,3010.0
658,,,
659,,,
660,,,
661,02 22 59 02 32,3364.0,1876.0
662,,,
663,+33 6 59 40 45 58,,3593.0
664,+33 3 33 44 33 60,,4712.0
665,06 06 48 68 78,,4577.0
666,07 09 73 21 77,3742.0,1077.0
667,03 11 09 61 26,,4040.0
668,+33 1 78 22 32 53,3783.0,
669,,,
670,,,
671,,,
672,,,
673,+33 4 50 23 24 43,,3568.0
674,+33 7 80 03 57 91,,3942.0
675,,,
676,,,
677,,,
678,,,
679,+33 2 27 65 99 32,,3149.0
680,+33 4 24 58 26 30,,4640.0
681,,,
682,+33 1 58 74 05 48,,4954.0
683,+33 1 33 28 86 71,,4906.0
684,,,
685,01 47 18 10 90,,4345.0
686,,,
687,,,
688,01 14 38 50 11,,4499.0
689,+33 6 47 87 52 48,,4296.0
690,,,
691,,,
692,04 72 08 21 88,3628.0,1379.0
693,04 75 61 03 84,,3372.0
694,,,
695,+33 3 13 90 30 31,3784.0,1390.0
696,,,
697,,,
698,01 54 01 41 97,,3794.0
699,07 75 67 59 26,,4053.0
700,,,
701,03 30 96 80 95,,3488.0
702,04 35 04 46 42,3944.0,1219.0
703,03 54 39 16 50,,3548.0
704,+33 7 33 27 76 30,,4852.0
705,+33 7 37 17 68 07,,3313.0
706,02 02 04 24 72,3482.0,1603.0
707,03 00 85 98 53,3981.0,
708,+33 3 67 31 07 36,3447.0,1040.0
709,+33 3 06 47 48 86,,3712.0
710,,,
711,,,
712,+33 6 82 78 68 86,,4855.0
713,06 96 08 68 03,,3437.0
714,+33 1 78 78 71 10,,4217.0
715,07 17 71 50 80,3611.0,1009.0
716,,,
717,,,
718,01 71 41 75 23,,4077.0
719,,,
720,+33 1 09 34 88 87,,4730.0
721,,,
722,02 52 07 27 12,,3293.0
723,+33 2 41 22 22 06,,3764.0
724,,,
725,,,
726,+33 1 66 70 69 98,,3732.0
727,,,
728,,,
729,+33 1 41 76 31 97,3907.0,1741.0
730,,,
731,07 56 69 88 51,,4277.0
732,02 22 03 21 30,,3172.0
733,+33 6 66 79 66 48,,4261.0
734,03 53 03 01 45,3491.0,1590.0
735,,,
736,,,
737,,,
738,+33 2 12 31 16 76,,4693.0
739,01 34 31 13 12,3448.0,1598.0
740,03 93 11 16 31,,4372.0
741,06 06 42 40 09,3120.0,
742,,,
743,,,
744,+33 4 30 40 31 56,,4987.0
745,,,
746,+33 6 93 42 48 94,,4594.0
747,+33 1 68 61 17 89,,3877.0
748,,,
749,+33 2 50 28 13 42,,4598.0
750,,,
751,,,
752,,,
753,02 12 16 22 29,,4616.0
754,03 98 69 67 31,3824.0,1850.0
755,+33 2 06 14 02 07,,3921.0
756,02 91 46 90 12,,4896.0
757,+33 3 31 39 03 35,,3629.0
758,01 14 10 04 21,,4976.0
759,02 64 56 30 49,3606.0,
760,,,
761,,,
762,,,
763,+33 1 93 38 28 38,,3222.0
764,,,
765,+33 2 57 22 23 22,,4565.0
766,06 63 62 72 63,3300.0,
767,02 02 22 04 54,3876.0,1044.0
768,,,
769,01 14 13 93 57,3899.0,1356.0
770,,,
771,,,
772,,,
773,,,
774,06 06 47 05 95,,4600.0
775,,,
776,06 82 32 31 52,3152.0,1680.0
777,+33 1 81 81 93 13,,3451.0
778,03 98 43 39 34,3448.0,1769.0
779,+33 1 63 60 17 31,,4117.0
780,,,
781,+33 2 11 12 52 19,,4084.0
782,+33 6 74 17 46 46,,4390.0
783,,,
784,03 69 03 99 13,,3849.0
785,,,
786,+33 4 64 33 88 43,3975.0,
787,,,
788,,,
789,,,
790,,,
791,+33 7 30 75 73 27,,3591.0
792,,,
793,+33 3 89 33 33 33,3066.0,1169.0
794,,,
795,07 29 27 69 29,,4215.0
796,,,
797,+33 1 08 79 94 01,,4371.0
798,+33 1 18 11 27 11,,4927.0
799,,,
800,+33 4 86 14 31 32,,4134.0
801,03 22 05 03 30,,3029.0
802,,,
803,,,
804,+33 1 21 98 53 71,3837.0,1066.0
805,+33 2 69 64 62 16,,3821.0
806,,,
807,07 69 13 73 36,,3287.0
808,+33 1 16 04 33 19,,4746.0
809,,,
810,+33 2 82 63 63 55,,4290.0
811,02 65 44 21 25,,3980.0
812,04 47 01 44 11,,4980.0
813,,,
814,+33 6 25 98 33 31,,3034.0
815,+33 2 15 02 42 32,,4702.0
816,,,
817,+33 2 22 70 96 25,,4315.0
818,,,
819,+33 6 65 66 74 59,,4920.0
820,04 23 82 65 40,,3296.0
821,,,
822,+33 1 36 12 00 93,,4019.0
823,06 25 33 68 85,,3329.0
824,04 88 40 26 64,,4003.0
825,,,
826,06 52 90 92 89,,4237.0
827,,,
828,+33 2 83 62 52 23,,4432.0
829,,,
830,,,
831,01 73 19 20 48,,3215.0
832,,,
833,,,
834,+33 6 23 52 48 62,,4958.0
835,04 24 64 43 73,3955.0,1803.0
836,07 10 50 92 72,,4477.0
837,,,
838,+33 3 76 55 07 13,3833.0,1420.0
839,,,
840,07 83 92 75 58,,3727.0
841,+33 1 20 37 72 48,,4764.0
842,,,
843,,,
844,03 25 62 49 29,,3097.0
845,,,
846,+33 2 34 26 95 94,3106.0,1326.0
847,+33 2 62 52 41 55,3072.0,1312.0
848,,,
849,+33 1 30 31 45 49,,4466.0
850,,,
851,+33 2 91 82 23 96,3300.0,1067.0
852,,,
853,,,
854,,,
855,,,
856,,,
857,+33 7 51 33 63 57,,3124.0
858,,,
859,+33 2 04 93 09 58,,3187.0
860,+33 2 02 72 13 57,,3339.0
861,,,
862,,,
863,06 92 39 72 77,,4535.0
864,,,
865,03 89 25 86 14,,3703.0
866,+33 1 29 51 12 00,3886.0,1135.0
867,,,
868,+33 1 11 69 18 48,3048.0,
869,+33 1 91 10 44 32,3276.0,1761.0
870,,,
871,,,
872,,,
873,,,
874,04 55 51 82 47,,4921.0
875,,,
876,03 33 30 62 01,,4611.0
877,01 15 71 32 85,,4694.0
878,+33 3 31 17 93 86,,4061.0
879,,,
880,01 19 44 32 66,,3074.0
881,01 25 81 48 80,,4714.0
882,,,
883,01 66 71 96 11,,4596.0
884,+33 6 44 85 68 84,,4666.0
885,02 32 30 24 42,,4500.0
886,,,
887,+33 2 46 19 62 69,,4737.0
888,,,
889,,,
890,+33 3 95 97 09 45,3242.0,
891,,,
892,,,
893,,,
894,,,
895,,,
896,,,
897,+33 2 96 40 42 91,,4328.0
898,03 17 45 91 66,,4914.0
899,,,
900,,,
901,03 92 99 22 05,3218.0,1058.0
902,06 39 90 09 20,,4277.0
903,02 30 67 91 64,,3360.0
904,,,
905,01 18 13 03 79,,4830.0
906,+33 2 21 46 03 53,,4810.0
907,+33 2 02 22 00 49,3921.0,1111.0
908,,,
909,06 72 78 35 08,,4007.0
910,+33 1 19 35 13 83,3123.0,
911,06 32 99 76 24,3161.0,1920.0
912,03 08 34 36 95,3922.0,1590.0
913,+33 3 38 65 74 11,,4225.0
914,+33 2 93 54 17 06,,4661.0
915,+33 1 83 21 29 80,,3576.0
916,,,
917,+33 1 11 15 01 20,,4519.0
918,+33 4 84 84 73 32,,4100.0
919,04 05 74 60 31,,4147.0
920,+33 3 37 37 67 11,,4448.0
921,+33 2 23 46 88 64,,3631.0
922,+33 6 57 33 87 53,3441.0,
923,,,
924,+33 3 48 33 51 88,,4547.0
925,,,
926,,,
927,01 11 31 16 94,,3350.0
928,+33 6 12 92 81 24,,3968.0
929,,,
930,,,
931,+33 7 72 72 77 58,,3156.0
932,02 70 05 20 31,,4085.0
933,02 60 10 05 14,,3767.0
934,02 20 76 22 93,3254.0,1082.0
935,06 71 92 46 72,3563.0,1885.0
936,04 41 84 41 34,,3941.0
937,06 31 63 62 61,,4243.0
938,+33 1 59 87 15 97,,4434.0
939,03 30 57 63 06,,4015.0
940,,,
941,,,
942,+33 3 99 63 88 84,,4927.0
943,+33 3 83 70 17 16,,3965.0
944,,,
945,+33 3 63 31 63 66,,3001.0
946,07 71 29 77 37,3214.0,1377.0
947,,,
